wavelength,Reflectance
711,0.982830619
712,0.982827371
713,0.982824108
714,0.982820818
715,0.982817486
716,0.982814098
717,0.982810641
718,0.9828071
719,0.982803462
720,0.982799713
721,0.982795839
722,0.982791826
723,0.982787661
724,0.982783328
725,0.982778816
726,0.982774109
727,0.982769195
728,0.982764058
729,0.982758685
730,0.982753063
731,0.982747178
732,0.982741015
733,0.982734561
734,0.982727801
735,0.982720723
736,0.982713313
737,0.982705555
738,0.982697437
739,0.982688945
740,0.982680065
741,0.982670782
742,0.982661084
743,0.982650956
744,0.982640384
745,0.982629355
746,0.982617855
747,0.98260587
748,0.982593385
749,0.982580388
750,0.982566864
751,0.982552806
752,0.982538229
753,0.982523155
754,0.982507607
755,0.982491607
756,0.982475176
757,0.982458336
758,0.98244111
759,0.982423519
760,0.982405586
761,0.982387332
762,0.98236878
763,0.982349951
764,0.982330868
765,0.982311552
766,0.982292026
767,0.982272311
768,0.98225243
769,0.982232404
770,0.982212256
771,0.982192007
772,0.98217168
773,0.982151296
774,0.982130878
775,0.982110447
776,0.982090026
777,0.982069637
778,0.9820493
779,0.98202904
780,0.982008876
781,0.981988833
782,0.981968931
783,0.981949192
784,0.981929639
785,0.981910293
786,0.981891177
787,0.981872312
788,0.981853721
789,0.981835426
790,0.981817448
791,0.981799809
792,0.981782532
793,0.981765638
794,0.98174915
795,0.98173309
796,0.981717479
797,0.981702339
798,0.981687693
799,0.981673563
800,0.98165997
801,0.981646934
802,0.981634466
803,0.981622574
804,0.981611267
805,0.981600552
806,0.981590438
807,0.981580934
808,0.981572048
809,0.981563787
810,0.98155616
811,0.981549177
812,0.981542844
813,0.98153717
814,0.981532164
815,0.981527833
816,0.981524187
817,0.981521233
818,0.98151898
819,0.981517436
820,0.981516609
821,0.981516508
822,0.98151714
823,0.981518515
824,0.981520641
825,0.981523525
826,0.981527177
827,0.981531604
828,0.981536815
829,0.981542818
830,0.981549622
831,0.981557234
832,0.981565663
833,0.981574918
834,0.981585006
835,0.981595936
836,0.981607717
837,0.981620356
838,0.981633862
839,0.981648243
840,0.981663507
841,0.981679664
842,0.98169672
843,0.981714685
844,0.981733567
845,0.981753374
846,0.981774114
847,0.981795796
848,0.981818427
849,0.981842017
850,0.981866574
851,0.981892097
852,0.981918548
853,0.981945882
854,0.981974053
855,0.982003015
856,0.982032722
857,0.982063128
858,0.982094187
859,0.982125852
860,0.982158079
861,0.98219082
862,0.982224031
863,0.982257664
864,0.982291674
865,0.982326015
866,0.98236064
867,0.982395505
868,0.982430562
869,0.982465767
870,0.982501072
871,0.982536431
872,0.9825718
873,0.982607132
874,0.98264238
875,0.982677499
876,0.982712443
877,0.982747165
878,0.982781621
879,0.982815763
880,0.982849546
881,0.982882923
882,0.982915849
883,0.982948278
884,0.982980164
885,0.98301146
886,0.983042121
887,0.9830721
888,0.983101353
889,0.983129831
890,0.983157491
891,0.983184285
892,0.983210167
893,0.983235093
894,0.983259014
895,0.983281887
896,0.983303664
897,0.983324299
898,0.983343747
899,0.983361961
900,0.983378896
901,0.983394521
902,0.983408862
903,0.983421964
904,0.983433868
905,0.983444618
906,0.983454256
907,0.983462825
908,0.983470367
909,0.983476926
910,0.983482544
911,0.983487263
912,0.983491127
913,0.983494179
914,0.98349646
915,0.983498014
916,0.983498884
917,0.983499112
918,0.98349874
919,0.983497812
920,0.983496371
921,0.983494459
922,0.983492118
923,0.983489392
924,0.983486324
925,0.983482955
926,0.983479329
927,0.983475489
928,0.983471476
929,0.983467335
930,0.983463107
931,0.983458835
932,0.983454562
933,0.983450331
934,0.983446185
935,0.983442166
936,0.983438316
937,0.983434679
938,0.983431298
939,0.983428214
940,0.983425471
941,0.983423111
942,0.983421178
943,0.983419714
944,0.983418761
945,0.983418362
946,0.98341856
947,0.983419398
948,0.983420918
949,0.983423164
950,0.983426177
951,0.98342999
952,0.983434594
953,0.983439969
954,0.983446094
955,0.983452949
956,0.983460516
957,0.983468773
958,0.9834777
959,0.983487278
960,0.983497487
961,0.983508307
962,0.983519718
963,0.983531699
964,0.983544231
965,0.983557294
966,0.983570868
967,0.983584932
968,0.983599468
969,0.983614454
970,0.983629871
971,0.9836457
972,0.983661919
973,0.983678509
974,0.98369545
975,0.983712722
976,0.983730306
977,0.98374818
978,0.983766326
979,0.983784722
980,0.98380335
981,0.983822189
982,0.983841219
